obs_date;name;hospitalized;uci;recovered;death;confirmed;confirmed_new;altas;fallecimientos;codigo_ine;Posicion;perc_exit;confirmedrecovered;confirmed_estimated
2020-03-18;Ávila; 24;  1;   1;  1;  42; 24;   1;  1; 5019;40.616092,-4.929031; 50,00000;  41;   71,42857
2020-03-18;Burgos; 67; 19;  11;  5; 165; 39;  11;  5; 9059;42.383333,-3.666667; 31,25000; 154;  357,14286
2020-03-18;León; 37;  7;   3;  4; 106; 31;   3;  4;24089;42.666667,-6.0; 57,14286; 103;  285,71429
2020-03-18;Palencia;  7;  1;   1;  0;   6; -1;   1;  0;34120;42.432128,-4.520647;  0,00000;   5;    0,00000
2020-03-18;Salamanca; 44;  4;   4;  8; 125; 60;   4;  8;37274;40.833333,-6.0; 66,66667; 121;  571,42857
2020-03-18;Segovia; 34;  5;   3;  6;  76; 43;   3;  6;40004;41.166667,-4.0; 66,66667;  73;  428,57143
2020-03-18;Soria; 15;  5;   4;  4;  40; 23;   4;  4;42173;41.666667,-2.666667; 50,00000;  36;  285,71429
2020-03-18;Valladolid; 38;  8;   0;  0;  82;  8;   0;  0;47186;41.583333,-4.666667;NA;  82;    0,00000
2020-03-18;Zamora; 15;  4;   0;  1;  26; 10;   0;  1;49275;41.75,-6.0;100,00000;  26;   71,42857
2020-03-19;Ávila; 25;  1;   2;  2;  59; 17;   2;  2; 5019;40.616092,-4.929031; 50,00000;  57;  142,85714
2020-03-19;Burgos; 72; 22;  14;  8; 187; 22;  14;  8; 9059;42.383333,-3.666667; 36,36364; 173;  571,42857
2020-03-19;León; 44;  8;   3;  5; 134; 28;   3;  5;24089;42.666667,-6.0; 62,50000; 131;  357,14286
2020-03-19;Palencia; 15;  1;   1;  0;  14;  8;   1;  0;34120;42.432128,-4.520647;  0,00000;  13;    0,00000
2020-03-19;Salamanca; 71;  5;   8; 12; 149; 24;   8; 12;37274;40.833333,-6.0; 60,00000; 141;  857,14286
2020-03-19;Segovia; 50;  6;   3;  7; 121; 45;   3;  7;40004;41.166667,-4.0; 70,00000; 118;  500,00000
2020-03-19;Soria; 23;  6;   4;  5;  58; 18;   4;  5;42173;41.666667,-2.666667; 55,55556;  54;  357,14286
2020-03-19;Valladolid; 55; 14;   1;  3; 115; 33;   1;  3;47186;41.583333,-4.666667; 75,00000; 114;  214,28571
2020-03-19;Zamora; 15;  6;   1;  1;  31;  5;   1;  1;49275;41.75,-6.0; 50,00000;  30;   71,42857
2020-03-20;Ávila; 40;  3;   4;  4;  63;  4;   4;  4; 5019;40.616092,-4.929031; 50,00000;  59;  285,71429
2020-03-20;Burgos; 91; 26;  21; 12; 208; 21;  21; 12; 9059;42.383333,-3.666667; 36,36364; 187;  857,14286
2020-03-20;León; 63;  7;   3;  5; 164; 30;   3;  5;24089;42.666667,-6.0; 62,50000; 161;  357,14286
2020-03-20;Palencia; 19;  3;   1;  0;  26; 12;   1;  0;34120;42.432128,-4.520647;  0,00000;  25;    0,00000
