fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2020-04-01;Ávila;512;45;132;59;5019;40.616092,-4.929031
2020-04-01;León;1007;43;216;108;24089;42.666667,-6.0
2020-04-01;Palencia;359;34;52;23;34120;42.432128,-4.520647
2020-04-01;Zamora;226;9;51;25;49275;41.75,-6.0
2020-04-02;Soria;686;27;95;46;42173;41.666667,-2.666667
2020-04-02;Zamora;278;52;61;28;49275;41.75,-6.0
2020-04-03;Ávila;590;30;170;66;5019;40.616092,-4.929031
2020-04-03;Burgos;940;45;296;92;9059;42.383333,-3.666667
2020-04-03;Salamanca;1489;76;301;167;37274;40.833333,-6.0
2020-04-03;Valladolid;1290;102;381;114;47186;41.583333,-4.666667
2020-04-04;León;1204;79;398;159;24089;42.666667,-6.0
2020-04-04;Palencia;452;25;104;31;34120;42.432128,-4.520647
2020-04-04;Valladolid;1352;62;439;125;47186;41.583333,-4.666667
2020-04-05;Ávila;679;41;214;73;5019;40.616092,-4.929031
2020-04-05;Burgos;985;21;343;103;9059;42.383333,-3.666667
2020-04-05;Palencia;472;20;111;36;34120;42.432128,-4.520647
2020-04-05;Zamora;339;16;93;37;49275;41.75,-6.0
2020-04-06;Burgos;1003;18;360;113;9059;42.383333,-3.666667
2020-04-06;Palencia;486;14;114;39;34120;42.432128,-4.520647
2020-04-06;Valladolid;1445;42;487;145;47186;41.583333,-4.666667
2020-04-06;Zamora;340;1;100;38;49275;41.75,-6.0
2020-04-07;Palencia;510;24;126;41;34120;42.432128,-4.520647
2020-04-07;Segovia;1349;97;387;115;40004;41.166667,-4.0
2020-04-07;Valladolid;1602;157;553;153;47186;41.583333,-4.666667
2020-04-08;León;1398;54;620;210;24089;42.666667,-6.0
2020-04-08;Zamora;360;18;119;43;49275;41.75,-6.0
2020-04-09;Ávila;825;32;297;90;5019;40.616092,-4.929031
2020-04-09;León;1455;57;666;218;24089;42.666667,-6.0
2020-04-09;Valladolid;1846;160;664;173;47186;41.583333,-4.666667
2020-04-10;Ávila;859;34;325;93;5019;40.616092,-4.929031
2020-04-10;Palencia;592;47;162;44;34120;42.432128,-4.520647
2020-04-10;Salamanca;2051;95;542;236;37274;40.833333,-6.0
2020-04-10;Segovia;1672;101;470;132;40004;41.166667,-4.0
2020-04-11;Burgos;1170;44;492;136;9059;42.383333,-3.666667
2020-04-11;Palencia;605;13;171;46;34120;42.432128,-4.520647
2020-04-11;Salamanca;2115;64;579;244;37274;40.833333,-6.0
2020-04-11;Valladolid;2123;138;804;195;47186;41.583333,-4.666667
2020-04-12;Ávila;917;20;350;94;5019;40.616092,-4.929031
2020-04-12;Burgos;1207;37;509;140;9059;42.383333,-3.666667
2020-04-12;León;1575;37;781;245;24089;42.666667,-6.0
2020-04-12;Palencia;620;15;174;48;34120;42.432128,-4.520647
2020-04-12;Zamora;414;6;155;51;49275;41.75,-6.0
2020-04-13;León;1679;104;811;255;24089;42.666667,-6.0
2020-04-13;Segovia;1913;68;530;151;40004;41.166667,-4.0
2020-04-14;Burgos;1257;25;548;148;9059;42.383333,-3.666667
2020-04-14;Segovia;1994;81;563;155;40004;41.166667,-4.0
2020-04-14;Valladolid;2672;180;896;216;47186;41.583333,-4.666667
2020-04-15;Ávila;987;21;402;104;5019;40.616092,-4.929031
2020-04-15;Burgos;1320;63;564;149;9059;42.383333,-3.666667
2020-04-15;León;1935;70;906;273;24089;42.666667,-6.0
2020-04-16;Palencia;654;6;201;54;34120;42.432128,-4.520647
2020-04-16;Salamanca;2379;88;709;269;37274;40.833333,-6.0
2020-04-16;Segovia;2191;88;599;159;40004;41.166667,-4.0
2020-04-17;Segovia;2252;61;622;161;40004;41.166667,-4.0
2020-04-17;Zamora;572;42;197;61;49275;41.75,-6.0
2020-03-15;Burgos;119;8;0;4;9059;42.383333,-3.666667
2020-03-16;Ávila;17;7;0;0;5019;40.616092,-4.929031
2020-03-16;Segovia;33;6;0;3;40004;41.166667,-4.0
2020-03-16;Valladolid;56;16;0;0;47186;41.583333,-4.666667
2020-03-13;Burgos;90;29;0;1;9059;42.383333,-3.666667
