ccaa.codigo.iso;obs_date;confirmed;hospitalized;uci;death;recovered;ccaa.name;perc_exit;confirmedrecovered;confirmed_estimated
AN;2020-02-20;NA;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-20;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-20;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-20;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-20;    1;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-20;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-20;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-20;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-20;NA;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-20;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-20;NA;   26;   0;NA;NA;Valencia;NA;NA;NA
EX;2020-02-20;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-20;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-20;NA;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-20;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-20;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-20;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-20;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-21;NA;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-21;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-21;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-21;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-21;    1;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-21;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-21;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-21;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-21;NA;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-21;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-21;NA;   30;   1;NA;NA;Valencia;NA;NA;NA
EX;2020-02-21;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-21;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-21;NA;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-21;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-21;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-21;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-21;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-22;NA;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-22;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-22;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-22;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-22;    1;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-22;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-22;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-22;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-22;NA;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-22;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-22;NA;   33;   1;NA;NA;Valencia;NA;NA;NA
EX;2020-02-22;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-22;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-22;NA;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-22;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-22;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-22;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-22;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-23;NA;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-23;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-23;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-23;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-23;    1;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-23;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-23;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-23;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-23;NA;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-23;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-23;NA;   38;   2;NA;NA;Valencia;NA;NA;NA
EX;2020-02-23;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-23;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-23;NA;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-23;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-23;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-23;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-23;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-24;NA;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-24;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-24;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-24;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-24;    2;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-24;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-24;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-24;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-24;NA;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-24;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-24;NA;   49;   2;NA;NA;Valencia;NA;NA;NA
EX;2020-02-24;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-24;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-24;NA;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-24;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-24;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-24;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-24;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-25;NA;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-25;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-25;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-25;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-25;    5;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-25;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-25;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-25;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-25;    1;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-25;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-25;    1;   58;   2;NA;NA;Valencia;NA;NA;NA
EX;2020-02-25;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-25;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-25;    2;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-25;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-25;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-25;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-25;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-26;    1;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-26;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-26;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-26;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-26;    6;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-26;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-26;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-26;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-26;    2;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-26;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-26;    2;   63;   3;NA;NA;Valencia;NA;NA;NA
EX;2020-02-26;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-26;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-26;    4;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-26;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-26;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-26;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-26;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-27;    6;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-27;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-27;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-27;    1;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-27;    6;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-27;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-27;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-27;    0;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-27;    3;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-27;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-27;    8;   73;   3;NA;NA;Valencia;NA;NA;NA
EX;2020-02-27;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-27;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-27;    5;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-27;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-27;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-27;NA;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-27;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-28;    8;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-28;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-28;NA;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-28;    2;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-28;    6;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-28;NA;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-28;NA;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-28;    2;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-28;    5;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-28;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-28;   10;   78;   3;NA;NA;Valencia;NA;NA;NA
EX;2020-02-28;NA;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-28;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-28;    8;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-28;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-28;NA;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-28;    2;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-28;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-02-29;   12;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-02-29;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-02-29;    1;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-02-29;    2;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-02-29;    7;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-02-29;    1;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-02-29;    1;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-02-29;    2;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-02-29;    6;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-02-29;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-02-29;   15;   85;   3;NA;NA;Valencia;NA;NA;NA
EX;2020-02-29;    4;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-02-29;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-02-29;   10;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-02-29;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-02-29;    1;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-02-29;    3;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-02-29;NA;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-01;   12;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-01;NA;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-01;    1;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-01;    2;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-01;    7;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-01;   10;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-01;    3;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-01;    2;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-01;   15;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-01;NA;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-01;   15;   88;   3;NA;NA;Valencia;NA;NA;NA
EX;2020-03-01;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-01;NA;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-01;   29;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-01;NA;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-01;    1;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-01;    9;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-01;    1;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-02;   12;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-02;    0;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-02;    1;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-02;    2;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-02;    7;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-02;   10;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-02;    7;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-02;    7;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-02;   15;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-02;    0;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-02;   15;   93;   3;NA;NA;Valencia;NA;NA;NA
EX;2020-03-02;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-02;    0;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-02;   49;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-02;    0;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-02;    1;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-02;   13;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-02;    3;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-03;   12;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-03;    0;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-03;    2;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-03;    5;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-03;    7;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-03;   10;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-03;   12;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-03;    8;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-03;   15;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-03;    0;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-03;   19;  105;   5;NA;NA;Valencia;NA;NA;NA
EX;2020-03-03;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-03;    1;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-03;   70;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-03;    0;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-03;    3;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-03;   17;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-03;    7;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-04;   12;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-04;    1;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-04;    5;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-04;    6;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-04;    8;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-04;   10;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-04;   13;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-04;   12;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-04;   24;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-04;    0;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-04;   19;  117;   6;NA;NA;Valencia;NA;NA;NA
EX;2020-03-04;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-04;    1;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-04;   90;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-04;    0;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-04;    3;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-04;   17;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-04;   11;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-05;   21;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-05;    6;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-05;    5;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-05;    6;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-05;   11;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-05;   10;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-05;   15;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-05;   13;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-05;   24;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-05;    0;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-05;   30;  130;   8;NA;NA;Valencia;NA;NA;NA
EX;2020-03-05;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-05;    3;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-05;  137;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-05;    0;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-05;    3;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-05;   45;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-05;   29;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-06;   27;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-06;   11;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-06;    5;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-06;    6;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-06;   11;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-06;   10;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-06;   15;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-06;   14;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-06;   24;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-06;    0;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-06;   30;  138;   8;NA;NA;Valencia;NA;NA;NA
EX;2020-03-06;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-06;    3;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-06;  137;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-06;    0;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-06;    3;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-06;   45;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-06;   39;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-07;   34;NA;NA;NA;NA;Andalucia;NA;NA;NA
AR;2020-03-07;   11;NA;NA;NA;NA;Aragón;NA;NA;NA
AS;2020-03-07;    7;NA;NA;NA;NA;Asturias;NA;NA;NA
IB;2020-03-07;    8;NA;NA;NA;NA;Islas Baleares;NA;NA;NA
CN;2020-03-07;   17;NA;NA;NA;NA;Canarias;NA;NA;NA
CB;2020-03-07;   12;NA;NA;NA;NA;Cantabria;NA;NA;NA
CM;2020-03-07;   15;NA;NA;NA;NA;Castilla la Mancha;NA;NA;NA
CL;2020-03-07;   21;NA;NA;NA;NA;Castilla y León;NA;NA;NA
CT;2020-03-07;   49;NA;NA;NA;NA;Cataluña;NA;NA;NA
CE;2020-03-07;    0;NA;NA;NA;NA;Ceuta;NA;NA;NA
VC;2020-03-07;   37;  146;   9;NA;NA;Valencia;NA;NA;NA
EX;2020-03-07;    6;NA;NA;NA;NA;Extremadura;NA;NA;NA
GA;2020-03-07;    5;NA;NA;NA;NA;Galicia;NA;NA;NA
MD;2020-03-07;  175;NA;NA;NA;NA;Madrid;NA;NA;NA
MC;2020-03-07;    1;NA;NA;NA;NA;Murcia;NA;NA;NA
NC;2020-03-07;    3;NA;NA;NA;NA;Navarra;NA;NA;NA
PV;2020-03-07;   70;NA;NA;NA;NA;País Vasco;NA;NA;NA
RI;2020-03-07;   55;NA;NA;NA;NA;La Rioja;NA;NA;NA
AN;2020-03-08;   54;NA;   1;   0;   11;Andalucia;  0,000000;   43;     0,00000
AR;2020-03-08;   13;NA;   3;   3;NA;Aragón;NA;NA;   214,28571
AS;2020-03-08;    7;NA;   2;   0;NA;Asturias;NA;NA;     0,00000
IB;2020-03-08;   11;NA;   1;   0;    2;Islas Baleares;  0,000000;    9;     0,00000
CN;2020-03-08;   22;NA;   0;   0;    4;Canarias;  0,000000;   18;     0,00000
CB;2020-03-08;   12;NA;   0;   0;NA;Cantabria;NA;NA;     0,00000
CM;2020-03-08;   26;NA;   2;   0;    2;Castilla la Mancha;  0,000000;   24;     0,00000
CL;2020-03-08;   30;NA;   2;   0;NA;Castilla y León;NA;NA;     0,00000
CT;2020-03-08;   75;NA;   0;   2;NA;Cataluña;NA;NA;   142,85714
CE;2020-03-08;    0;NA;   0;   0;NA;Ceuta;NA;NA;     0,00000
